Movie,hv,mv,lv,ha,ma,la,hd,md,ld,Genre
frozen,0.248689452715454,0.672887397777312,0.078423149507234,0.042776263367582,0.939400293562592,0.017823443069826,0.098133780666807,0.851331516041099,0.050534703292095,Drama
fruitvale-station,0.265073212747631,0.686046511627907,0.048880275624462,0.049095607235142,0.935831180017226,0.015073212747631,0.084409991386736,0.880060292850991,0.035529715762274,Drama
funny-people,0.345544158785134,0.589050219794858,0.065405621420008,0.055015319035567,0.934994005594778,0.009990675369655,0.102171306780338,0.858132409750899,0.039696283468763,Drama
g.i.-jane,0.201863354037267,0.724785566400473,0.07335107956226,0.030612244897959,0.9572611653357,0.012126589766341,0.078083407275954,0.882874889086069,0.039041703637977,Drama
g.i.-joe-the-rise-of-cobra,0.183500294637596,0.739776075427225,0.07672362993518,0.047967000589275,0.940365350618739,0.011667648791986,0.078609310548026,0.851502651738362,0.069888037713612,Action
game-6,0.23445180594144,0.684547980337679,0.081000213720881,0.037401154092755,0.948065826031203,0.014533019876042,0.089976490703142,0.875614447531524,0.034409061765335,Drama
gamer,0.226788432267884,0.693937087772704,0.079274479959412,0.054540842212075,0.931760527650938,0.013698630136986,0.063165905631659,0.885717909690512,0.051116184677829,Action
gandhi,0.216756796799763,0.698348025779687,0.08489517742055,0.05237424994444,0.93577302022372,0.011852729831839,0.092303133565449,0.835469294021779,0.072227572412771,Drama
gang-related,0.23083661848445,0.652796028617316,0.116367352898233,0.061030807417141,0.922616440356256,0.016352752226603,0.080887720835158,0.850051102350708,0.069061176814134,Drama
gangs-of-new-york,0.204035484432075,0.682553487563054,0.11341102800487,0.049486867281266,0.93590189598191,0.014611236736824,0.08236214993912,0.862932683945034,0.054705166115846,Crime
garden-state,0.275847921225383,0.662882932166302,0.061269146608315,0.038156455142232,0.950765864332604,0.011077680525164,0.092724288840263,0.87308533916849,0.034190371991247,Drama
gattaca,0.215112411866436,0.70972462418518,0.075162963948384,0.022881468671012,0.959558334441932,0.017560196887056,0.105627244911534,0.854197153119595,0.040175601968871,Sci-Fi
get-carter,0.269654665686995,0.637766348273328,0.092578986039677,0.03722752877786,0.946852804310556,0.015919666911585,0.069801616458486,0.879255449424443,0.050942934117071,Action
get-low,0.290457123790457,0.621621621621622,0.087921254587921,0.037871204537871,0.945945945945946,0.016182849516183,0.072906239572906,0.868868868868869,0.058224891558225,Drama
get-on-up,0.25391019172553,0.693239152371342,0.052850655903128,0.034182643794147,0.956483350151362,0.00933400605449,0.083375378405651,0.88433400605449,0.032290615539859,Drama
ghost-rider,0.215894710199949,0.688180207542394,0.095925082257656,0.051379397620856,0.937990382181726,0.010630220197418,0.062136168058719,0.876993166287016,0.060870665654265,Thriller
ghost-ship,0.188752245405555,0.758187094099765,0.05306066049468,0.048362581180047,0.936023214038966,0.015614204780987,0.053751554511538,0.915434572336604,0.030813873151859,Sci-Fi
ghost-world,0.295776842761415,0.632850241545894,0.071372915692691,0.03584229390681,0.952158329437432,0.011999376655758,0.112201963534362,0.854293283465794,0.033504752999844,Drama
ghost,0.26074584394189,0.641605511457241,0.097648644600869,0.053766661674405,0.932604463082222,0.013628875243373,0.091358394488543,0.847236782986371,0.061404822525086,Romance
ghostbusters-2,0.268496058217101,0.644026682838084,0.087477258944815,0.044117647058824,0.942540933899333,0.013341419041844,0.09990903577926,0.848847786537295,0.051243177683445,Comedy
