Time,Spectral Centroid
5179.25,2194.69745661859
5180.364,1597.76548877111
5181.479,733.718029020515
5182.594,991.66134588482
5183.708,1180.45498743644
5184.823,915.211034266221
5185.937,617.838522160986
5187.052,748.833634637143
5188.166,820.535127060445
5189.281,762.780798440066
5190.395,712.064073581695
5191.51,746.199774087123
5192.625,922.381251213596
5193.739,775.175371323046
5194.854,1105.60846048634
5195.968,1008.92955474033
5197.083,957.175400956533
5198.197,741.452241443301
5199.312,849.01772465288
5200.426,1049.77164999064
5201.541,900.78692999985
5202.656,771.583101051958
5203.77,618.819768338429
5204.885,580.552934442945
5205.999,542.211290186706
5207.114,539.271573877087
5208.228,860.651733591706
5209.343,854.646561640488
5210.457,711.441522799126
5211.572,478.100394052532
5212.687,413.850586145083
5213.801,578.223574820251
5214.916,662.415706044343
5216.03,490.399673363193
5217.145,901.330661778115
5218.259,969.463266544289
5219.374,877.200877714448
5220.488,608.381455993632
5221.603,496.585869073229
5222.718,634.646527372285
5223.832,808.695272758567
5224.947,1196.53572853961
5226.061,1749.04247398738
5227.176,1154.07956387097
5228.29,1495.43529571443
5229.405,1204.40637097594
5230.519,1434.12397236789
5231.634,1841.10374911501
5232.749,1519.32469558011
5233.863,1473.24886573716
5234.978,1265.33136738001
5236.092,1416.88607964784
5237.207,1607.3701227124
5238.321,1466.16882309919
5239.436,1425.52824667821
5240.55,994.158230181944
5241.665,1015.96175820902
5242.78,1131.75404710359
5243.894,1333.52678104382
5245.009,1549.36301627262
5246.123,2066.61365095775
5247.238,1818.14774966629
5248.352,2138.11570153931
5249.467,2049.36108438365
5250.581,2019.64454545785
5251.696,1773.42060901829
5252.811,2635.83131256578
5253.925,1880.21741737655
5255.04,1096.0571975346
5256.154,1793.93187646721
5257.269,1756.60235872051
5258.383,1737.79552838415
5259.498,1169.46836429125
5260.612,1413.71515443606
5261.727,1788.55522771383
5262.842,1434.13394970707
5263.956,1595.09736508627
5265.071,1514.59631116627
5266.185,1247.08779037211
5267.3,1324.19129611424
5268.414,1359.31352181983
5269.529,1340.20565748203
5270.643,1520.53024494667
5271.758,1423.92483295197
5272.873,1356.99105049015
5273.987,1377.15983305839
5275.102,1287.24811636367
5276.216,1106.89879646623
5277.331,1327.1883285202
5278.445,1509.71862839237
5279.56,1478.64411396876
5280.674,1298.12077629535
5281.789,1183.45097369634
5282.904,1105.62069996724
5284.018,1602.16220393108
5285.133,1288.6046233953
5286.247,1972.06105260032
5287.362,1589.66458963384
5288.476,1317.8891301367
5289.591,946.327827623585
5290.705,972.180084100476
5291.82,1567.95864482658
5292.935,1342.3317977548
5294.049,1441.04985524131
5295.164,1664.69254096943
5296.278,1891.42077125135
5297.393,1364.44374018144
5298.507,1431.49635229704
5299.622,1637.57037953408
5300.736,1005.36588803671
5301.851,1056.02808005611
5302.966,704.125503465906
5304.08,1119.83654701679
5305.195,1477.00285069667
5306.309,1644.2883793374
5307.424,1542.64116138443
5308.538,1524.21299699219
5309.653,1507.91674096863
5310.768,1468.43488064145
5311.882,1384.96996802155
5312.997,1543.0642533849
5314.111,1539.93280503249
5315.226,1542.501008888
5316.34,1658.24349086196
5317.455,1808.0588052309
5318.569,1592.29031155002
5319.684,1454.52666072388
5320.799,1276.34083266333
5321.913,1611.12607841073
5323.028,1404.48638334515
5324.142,1371.16693056883
5325.257,1345.72283970844
5326.371,1484.78009043227
5327.486,1699.44192749282
5328.6,1517.93215815128
5329.715,1384.31799676273
5330.83,1556.27502168109
5331.944,1390.55114331715
5333.059,1490.26176036652
5334.173,1666.18145415299
5335.288,1149.30354478746
5336.402,805.325548757508
5337.517,1044.02479977561
5338.631,1386.97066293969
5339.746,1345.90804599528
5340.861,2797.41037660599
5341.975,1536.16678853484
5343.09,1864.53370060966
5344.204,1745.36658779745
5345.319,1445.05261473907
5346.433,1549.80879203907
5347.548,1350.48804599279
5348.662,2216.79148384219
5349.777,2161.72611615896
5350.892,1778.30744641878
5352.006,1416.52765915917
5353.121,1669.56047587652
5354.235,1972.84131243328
5355.35,1797.68499046642
5356.464,1713.1779488677
5357.579,1728.49352700049
5358.693,1318.58141574074
5359.808,1420.61045106257
5360.923,1303.03811596965
5362.037,1363.62050342772
5363.152,1034.07947091414
5364.266,898.836241668719
5365.381,777.642945626701
5366.495,936.515284317895
5367.61,966.517506549168
5368.724,954.872173059402
5369.839,1109.87243212094
5370.954,959.37657665857
5372.068,768.269914972012
5373.183,916.592125683295
5374.297,916.272409434025
5375.412,750.320864425579
5376.526,842.313467951122
5377.641,922.560653797972
5378.755,1091.95314124741
5379.87,1228.86479260993
5380.985,1361.91702465272
5382.099,1164.50633992837
5383.214,1132.33304411923
5384.328,1351.73597582843
5385.443,1429.74881283673
5386.557,1477.78833580121
5387.672,1216.04102327805
5388.786,1747.10853437161
5389.901,1283.8418932374
5391.016,1549.24303201844
5392.13,1253.32972563411
5393.245,1295.40360269816
5394.359,1157.80097763497
5395.474,1239.03150539895
5396.588,1438.6791709729
5397.703,747.229500460445
5398.817,536.084322451641
5399.932,516.765996497067
5401.047,497.656220288156
5402.161,867.208307988511
5403.276,644.830380719236
5404.39,567.946479236671
5405.505,542.05483471271
5406.619,516.731964772095
5407.734,736.412388560577
5408.848,600.860441545902
5409.963,474.648366831121
5411.078,936.147021710058
5412.192,1997.47499617897
5413.307,662.369060683948
5414.421,582.924570842513
5415.536,830.468753823774
5416.65,761.998027353599
5417.765,812.46690993566
5418.879,1220.02437660904
5419.994,599.007707331116
5421.109,1181.62555786872
5422.223,694.115540807057
5423.338,1044.7222028411
5424.452,919.694778958857
5425.567,1051.2044942346
5426.681,828.670384242381
5427.796,1336.17419531596
5428.91,1487.12277050627
5430.025,2434.57202771548
5431.14,2596.60460313107
5432.254,1762.24932763946
5433.369,1908.85593804807
5434.483,833.318809483944
5435.598,2257.05462952992
5436.712,2526.13921374921
5437.827,1419.49810577594
5438.941,1853.06851200388
5440.056,1264.28602802269
5441.171,955.855453850199
5442.285,744.654153525609
5443.4,2134.16722972777
5444.514,2036.92615535464
5445.629,1720.35418990055
5446.743,571.213485346623
5447.858,518.094262657498
5448.972,652.420643687116
5450.087,1217.76233677059
5451.202,954.818217001632
5452.316,843.54887061506
5453.431,853.166028142614
5454.545,1310.22617180795
5455.66,1017.33246805423
5456.774,873.061868737825
5457.889,1525.72360891109
5459.003,1521.87692086737
5460.118,1809.4831213262
5461.233,1003.30942523148
5462.347,1950.72762787197
5463.462,1776.88949298068
5464.576,1972.68836178393
5465.691,616.072782921845
5466.805,1040.81956106581
5467.92,866.368173602845
5469.034,605.187996272023
5470.149,496.868210777082
5471.264,1118.35307998003
5472.378,2329.72225791744
5473.493,1933.51601107961
5474.607,1606.07623759819
5475.722,1570.1167201825
5476.836,1495.97036209997
5477.951,2067.15492972605
5479.065,2213.99398915234
5480.18,1971.28395943446
5481.295,1282.40817925576
5482.409,1635.13438640063
5483.524,1635.67854798441
5484.638,1908.95958110386
5485.753,749.098236078665
5486.867,1448.28689474299
5487.982,1182.80640017864
5489.096,1980.56591932721
5490.211,992.76894557908
5491.326,1625.87820221964
5492.44,1850.24828417874
5493.555,1818.63972320932
5494.669,1962.88659583739
5495.784,1747.40787507158
5496.898,1264.89851878088
5498.013,1680.61664755593
5499.128,2193.36621511024
5500.242,1666.3932206443
5501.357,2217.36580840385
5502.471,1971.89284274371
5503.586,2062.80375066377
5504.7,1630.2627552279
5505.815,1985.01214440309
5506.929,2131.36721388755
5508.044,2796.54941309852
5509.159,1821.47536743772
5510.273,1086.16287575121
5511.388,1135.74637154291
5512.502,2183.05545259476
5513.617,1757.69381124817
5514.731,1193.41202948265
5515.846,2064.92877029029
5516.96,1605.38365309299
5518.075,1243.89992568816
5519.19,2047.97064675417
5520.304,1661.65609532539
5521.419,1668.38527446721
5522.533,1401.19587494538
5523.648,1273.12804645244
5524.762,1860.28404433671
5525.877,1423.65204247389
5526.991,1720.27213488212
5528.106,1780.77778348624
5529.221,2126.40474784813
5530.335,1786.61042244004
5531.45,2032.28002552761
5532.564,1660.33881019736
5533.679,1468.15674931584
5534.793,1696.9025375831
5535.908,1505.07811501512
5537.022,1729.21738063241
5538.137,1984.55852166636
5539.252,1453.94514473351
5540.366,1353.48350761842
5541.481,1248.46055874203
5542.595,850.399755360491
5543.71,806.173903419453
5544.824,857.286804823155
5545.939,835.064365827895
5547.053,1044.17534202659
5548.168,2099.34521224438
5549.283,1519.11348648269
5550.397,2034.57304100627
5551.512,1706.28552975227
5552.626,1648.7207143318
5553.741,1646.1863780246
5554.855,1694.81080022371
5555.97,1453.63149531944
5557.084,1585.95095013478
5558.199,1611.05431822838
5559.314,1734.24883365926
5560.428,1804.45450451239
5561.543,1680.39927915811
5562.657,1781.89357726425
5563.772,2285.61943551731
5564.886,2471.89271054676
5566.001,2051.57683237602
5567.115,1727.10750845055
5568.23,3346.77701385395
5569.345,1918.05523955561
5570.459,1804.37409009498
5571.574,1700.00941120157
5572.688,1669.83216905459
5573.803,1797.7266739206
5574.917,1904.89125714036
5576.032,1684.49035773716
5577.146,1636.57621965457
5578.261,1567.32605258625
5579.376,1613.43135660456
5580.49,1760.21613713467
5581.605,1759.6770734222
5582.719,1594.37022502805
5583.834,1961.35989285685
5584.948,1878.8188770507
5586.063,3187.66730442302
5587.177,3380.65183863883
5588.292,3170.63336000872
5589.407,2628.06685563835
5590.521,2327.6351646685
5591.636,2281.58843599399
5592.75,2784.57271550163
5593.865,2333.13981767352
5594.979,1521.87252214882
5596.094,1637.30389440406
5597.208,1464.70424863017
5598.323,1717.31835681852
5599.438,1860.94807167933
5600.552,1880.89194774356
5601.667,1641.82129473427
5602.781,1489.27451998739
5603.896,1789.86954441119
5605.01,1871.93043075556
